n_states,initialization,log_likelihood,aic,bic,model_params
2,0,-1284.8061498230245,2583.612299646049,2617.666234091845,"{'means': array([[-0.65675194],
       [ 0.68919215]]), 'covars': array([[[0.23346891]],

       [[0.87682252]]]), 'transmat': array([[0.54633669, 0.45366331],
       [0.47296829, 0.52703171]]), 'startprob': array([1.00000000e+00, 1.05342291e-46])}"
2,1,-1284.7999771161737,2583.5999542323475,2617.6538886781436,"{'means': array([[ 0.68763348],
       [-0.65732293]]), 'covars': array([[[0.87747063]],

       [[0.23309849]]]), 'transmat': array([[0.5278357 , 0.4721643 ],
       [0.45431843, 0.54568157]]), 'startprob': array([5.05208589e-65, 1.00000000e+00])}"
2,2,-1284.7350472214187,2583.4700944428373,2617.5240288886334,"{'means': array([[-0.66651173],
       [ 0.65720071]]), 'covars': array([[[0.22704663]],

       [[0.89225209]]]), 'transmat': array([[0.53514929, 0.46485071],
       [0.45525468, 0.54474532]]), 'startprob': array([9.99999688e-01, 3.11572839e-07])}"
2,3,-1284.7687197700093,2583.5374395400186,2617.5913739858147,"{'means': array([[-0.65997203],
       [ 0.67649446]]), 'covars': array([[[0.2313327 ]],

       [[0.88384103]]]), 'transmat': array([[0.54059297, 0.45940703],
       [0.46780341, 0.53219659]]), 'startprob': array([9.99999625e-01, 3.75483290e-07])}"
2,4,-1284.7995658198533,2583.5991316397067,2617.653066085503,"{'means': array([[-0.65736182],
       [ 0.68752739]]), 'covars': array([[[0.23307326]],

       [[0.87751466]]]), 'transmat': array([[0.54563696, 0.45436304],
       [0.47210951, 0.52789049]]), 'startprob': array([1.00000000e+00, 2.32534977e-61])}"
2,5,-1284.798742972301,2583.597485944602,2617.651420390398,"{'means': array([[ 0.61782927],
       [-0.68395728]]), 'covars': array([[[0.90405374]],

       [[0.21589325]]]), 'transmat': array([[0.56598552, 0.43401448],
       [0.48390482, 0.51609518]]), 'startprob': array([2.33723493e-11, 1.00000000e+00])}"
2,6,-1284.7920511338484,2583.584102267697,2617.638036713493,"{'means': array([[ 0.61940971],
       [-0.6833053 ]]), 'covars': array([[[0.90353189]],

       [[0.21631117]]]), 'transmat': array([[0.56493701, 0.43506299],
       [0.48336686, 0.51663314]]), 'startprob': array([5.96471396e-11, 1.00000000e+00])}"
2,7,-1284.8015763562785,2583.603152712557,2617.657087158353,"{'means': array([[-0.65717271],
       [ 0.68804321]]), 'covars': array([[[0.23319593]],

       [[0.87730052]]]), 'transmat': array([[0.54585385, 0.45414615],
       [0.47237583, 0.52762417]]), 'startprob': array([1.00000000e+00, 3.84848962e-19])}"
2,8,-1284.8030250765898,2583.6060501531797,2617.659984598976,"{'means': array([[-0.65703801],
       [ 0.68841071]]), 'covars': array([[[0.23328331]],

       [[0.87714783]]]), 'transmat': array([[0.54600835, 0.45399165],
       [0.47256545, 0.52743455]]), 'startprob': array([1.00000000e+00, 1.44170452e-20])}"
2,9,-1284.8055598515464,2583.6111197030928,2617.665054148889,"{'means': array([[ 0.68904578],
       [-0.65680552]]), 'covars': array([[[0.87688347]],

       [[0.23343415]]]), 'transmat': array([[0.52710712, 0.47289288],
       [0.45372481, 0.54627519]]), 'startprob': array([8.43685766e-48, 1.00000000e+00])}"
3,0,-1271.5462927417268,2571.0925854834536,2639.200454375046,"{'means': array([[-0.95761221],
       [-0.18627378],
       [ 0.82675918]]), 'covars': array([[[0.10483038]],

       [[0.16596071]],

       [[0.83956209]]]), 'transmat': array([[0.36500645, 0.19237742, 0.44261613],
       [0.28092186, 0.40023829, 0.31883985],
       [0.27780375, 0.25825096, 0.46394529]]), 'startprob': array([6.72888912e-083, 1.00000000e+000, 8.70435678e-120])}"
3,1,-1272.9855045539982,2573.9710091079965,2642.0788779995887,"{'means': array([[-0.95483136],
       [-0.37070584],
       [ 0.81620111]]), 'covars': array([[[0.09545635]],

       [[0.30800188]],

       [[0.87267913]]]), 'transmat': array([[0.42401516, 0.00600473, 0.56998011],
       [0.09584028, 0.63605768, 0.26810205],
       [0.18155879, 0.34836366, 0.47007755]]), 'startprob': array([2.24725521e-25, 1.00000000e+00, 1.60761275e-40])}"
3,2,-1271.988419811703,2571.976839623406,2640.084708514998,"{'means': array([[ 0.88246332],
       [-0.97473914],
       [-0.22206208]]), 'covars': array([[[0.83122925]],

       [[0.10180096]],

       [[0.23008348]]]), 'transmat': array([[0.43774451, 0.2491208 , 0.31313469],
       [0.42233013, 0.34492763, 0.23274224],
       [0.300146  , 0.23668399, 0.46317001]]), 'startprob': array([1.06898485e-115, 5.04163364e-105, 1.00000000e+000])}"
